##,#######################################################,##
##,                                                       ,##
##,                 TSL MAT numbers                       ,##
##, associated with the ENDF/B-VIII.1-BetaX release       ,##
##,                                                       ,##
##, Note: empty file field means MAT number is reserved.  ,##
##,                                                       ,##
##,                                                       ,##
##,#######################################################,##
##,                                                       ,  
##  MAT number, ENDF-6 file name                ,    Description                                            
##            ,                                 ,                                                           
           1  , tsl-HinH2O.endf                 ,    H in H2O (liquid)
           2  , tsl-para-H.endf                 ,    para-Hydrogen 
           3  , tsl-ortho-H.endf                ,    ortho-Hydrogen
           5  , tsl-HinYH2.endf                 ,    H in YH2
           7  , tsl-HinZrH.endf                 ,    H in ZrH 
          10  , tsl-HinIceIh.endf               ,    H in H2O (ice (Ih))  
          11  , tsl-DinD2O.endf                 ,    D in D2O (liquid)
          12  , tsl-para-D.endf                 ,    para-Deuterium
          13  , tsl-ortho-D.endf                ,    ortho-Deuterium
          14  ,                                 ,    D in D2O (ice) 
          26  , tsl-Be-metal.endf               ,    Be (metal)
          27  , tsl-BeinBeO.endf                ,    Be in BeO
          28  , tsl-BeinBe2C.endf               ,    Be in Be2C
          30  , tsl-crystalline-graphite.endf   ,    crystalline graphite 
          31  , tsl-reactor-graphite-10P.endf   ,    reactor-grade graphite (10% porosity)
          32  , tsl-reactor-graphite-30P.endf   ,    reactor-grade graphite (30% porosity)
          33  , tsl-l-CH4.endf                  ,    CH4 (liquid methane)
          34  , tsl-s-CH4.endf                  ,    CH4 (solid methane)
          35  ,                                 ,    CH4 (solid methane - phase II)
          37  , tsl-HinCH2.endf                 ,    H in CH2 (polyethylene)   
          38  ,                                 ,    H in C6H3(CH3)3 (mesitylene)
          39  , tsl-HinC5O2H8.endf              ,    H in C5O2H8 (lucite)  
          40  , tsl-benzene.endf                ,    C6H6 (benzene)
          41  , tsl-HinParaffinicOil.endf       ,    H in Paraffinic Oil
          42  , tsl-HinToluene.endf             ,    H in C7H8 (toluene) 
          43  , tsl-SiinSiC.endf                ,    Si in SiC
          44  , tsl-CinSiC.endf                 ,    C in SiC
          45  , tsl-OinUO2.endf                 ,    O in UO2
          46  , tsl-OinBeO.endf                 ,    O in BeO
          47  ,                                 ,    alpha-phase SiO2 - File is not present anymore; replaced by separate libraries
          48  ,                                 ,    O in alpha-Al2O3 (sapphire)
          49  , tsl-SiO2-beta.endf              ,    beta-phase SiO2
          50  , tsl-OinIceIh.endf               ,    O in H2O (ice (Ih)) 
          51  , tsl-OinD2O.endf                 ,    O in D2O (liquid)
          53  , tsl-013_Al_027.endf             ,    Al (metal)
          55  , tsl-YinYH2.endf                 ,    Y in YH2 
          56  , tsl-026_Fe_056.endf             ,    Fe (metal)
          58  , tsl-ZrinZrH.endf                ,    Zr in ZrH 
          59  , tsl-Si.endf                     ,    Si 
          60  ,                                 ,    Al in alpha-Al2O3 (sapphire) 
          71  , tsl-NinUN.endf                  ,    N in UN
          72  , tsl-UinUN.endf                  ,    U in UN
          75  , tsl-UinUO2.endf                 ,    U in UO2
          76  , tsl-UinUC.endf                  ,    U in UC
         111  ,                                 ,    Na                            
         112  , tsl-Mg.endf                     ,    Mg                            
         113  ,                                 ,    Al                            
         119  ,                                 ,    K                             
         120  ,                                 ,    Ca                            
         121  ,                                 ,    Sc                            
         122  ,                                 ,    Ti                            
         124  ,                                 ,    Cr                            
         126  ,                                 ,    Fe                            
         128  ,                                 ,    Ni                            
         129  ,                                 ,    Cu                            
         130  ,                                 ,    Zn                            
         132  ,                                 ,    Ge                            
         137  ,                                 ,    Rb                            
         138  ,                                 ,    Sr                            
         140  ,                                 ,    Zr                            
         141  ,                                 ,    Nb                            
         142  ,                                 ,    Mo                            
         146  ,                                 ,    Pd                            
         147  ,                                 ,    Ag                            
         150  ,                                 ,    Sn                            
         156  ,                                 ,    Ba                            
         178  ,                                 ,    Pt                            
         179  ,                                 ,    Au                            
         182  ,                                 ,    Pb                            
         183  ,                                 ,    Bi                            
         204  , tsl-Be-metal+Sd.endf            ,    Be+Sd                         
         223  ,                                 ,    V-metal                       
         226  ,                                 ,    Fe-alpha                      
         239  ,                                 ,    Y-metal                       
         274  ,                                 ,    W-metal                       
         301  , tsl-graphiteSd.endf             ,    graphite-Sd                   
         320  , tsl-reactor-graphite-20P.endf   ,    reactor-grade graphite (20% porosity)
         380  ,                                 ,    diamond                       
        1001  , tsl-ZrinZrC.endf                ,    Zr in ZrC                     
        1002  , tsl-CinZrC.endf                 ,    C in ZrC                      
        1006  ,                                 ,    C in CH2                      
        1011  , tsl-CinC8H8.endf                ,    C in C8H8                     
        1012  , tsl-HinC8H8.endf                ,    H in C8H8                     
        1021  , tsl-CinBe2C.endf                ,    C in Be2C                     
        1022  ,                                 ,    Be in Be2C                    
