Nuclide;Z;N;Decay mode;Secondary decay mode;Tertiary decay mod;Half life;Jp;Abundance (%)
1n;0;1;b-;;;614 s;1/2+;
1H;1;0;stable;;;stable;1/2+;99.985
2H;1;1;stable;;;stable;1+;0.015
3H;1;2;b-;;;12.3 y;1/2+;
4H;1;3;n;;;;2-;
5H;1;4;n;;;5.7 MeV;;
6H;1;5;n;;;1.6 MeV;;
7H;1;6;n;;;;;
2He;2;0;p;;;;;
3He;2;1;stable;;;stable;1/2+;0.00014
4He;2;2;stable;;;stable;0+;99.99986
5He;2;3;n;;;600 keV;3/2-;
6He;2;4;b-;;;806.7 ms;0+;
7He;2;5;n;;;150 keV;(3/2)-;
8He;2;6;b-;;;119.1 ms;0+;
9He;2;7;n;;;0.30 MeV;(1/2-);
10He;2;8;n;;;300 keV;0+;
3Li;3;0;p;;;;;
4Li;3;1;p;;;6.03 MeV;2-;
5Li;3;2;p;;;~1.5 MeV;3/2-;
6Li;3;3;stable;;;stable;1+;7.5
7Li;3;4;stable;;;stable;3/2-;92.5
8Li;3;5;b-;;;839.9 ms;2+;
9Li;3;6;b-;;;178.3 ms;3/2-;
10Li;3;7;n;;;~1.2 MeV;;
11Li;3;8;b-;;;8.75 ms;3/2-;
12Li;3;9;n;;;<10 ns;;
13Li;3;10;n;;;;;
5Be;4;1;p;;;;;
6Be;4;2;p;;;92 keV;0+;
7Be;4;3;EC;;;53.22 d;3/2-;
8Be;4;4;a;;;5.57 eV;0+;
9Be;4;5;stable;;;stable;3/2-;100
10Be;4;6;b-;;;1.51E+6 y;0+;
11Be;4;7;b-;;;13.76 s;1/2+;
12Be;4;8;b-;;;21.47 ms;0+;
13Be;4;9;n;;;2.7E-21 s;(1/2, 5/2)+;
14Be;4;10;b-;;;4.35 ms;0+;
15Be;4;11;n;;;0.58 MeV;;
16Be;4;12;n;;;0.8 MeV;;
7B;5;2;p;;;1.4 MeV;(3/2-);
8B;5;3;b+;;;770 ms;2+;
9B;5;4;p;;;0.54 keV;3/2-;
10B;5;5;stable;;;stable;3+;19.9
11B;5;6;stable;;;stable;3/2-;80.1
12B;5;7;b-;;;20.20 ms;1+;
13B;5;8;b-;;;17.33 ms;3/2-;
14B;5;9;b-;;;12.36 ms;2-;
15B;5;10;b-;;;10.18 ms;;
16B;5;11;n;;;<190 ps;(0-);
17B;5;12;b-;;;5.08 ms;(3/2-);
18B;5;13;n;;;<26 ns;;
19B;5;14;b-;;;2.92 ms;;
8C;6;2;p;;;230 keV;0+;
9C;6;3;b+;;;126.5 ms;(3/2-);
10C;6;4;b+;;;19.308 s;0+;
11C;6;5;b+;;;20.364 m;3/2-;
12C;6;6;stable;;;stable;0+;98.90
13C;6;7;stable;;;stable;1/2-;1.10
14C;6;8;b-;;;5730 y;0+;
15C;6;9;b-;;;2.449 s;1/2+;
16C;6;10;b-;;;0.747 s;0+;
17C;6;11;b-;;;193 ms;;
18C;6;12;b-;;;95 ms;0+;
19C;6;13;b-;;;46 ms;;
20C;6;14;b-;;;14 ms;0+;
21C;6;15;n;;;<30 ns;;
22C;6;16;b-;;;6.2 ms;0+;
10N;7;3;p;;;;;
11N;7;4;p;;;830 keV;1/2+;
12N;7;5;b+;;;11 ms;1+;
13N;7;6;b+;;;9.965 m;1/2-;
14N;7;7;stable;;;stable;1+;99.634
15N;7;8;stable;;;stable;1/2-;0.366
16N;7;9;b-;;;7.13 s;2-;
17N;7;10;b-;;;4.173 s;1/2-;
18N;7;11;b-;;;624 ms;1-;
19N;7;12;b-;;;0.304 s;(1/2-);
20N;7;13;b-;;;136 ms;;
21N;7;14;b-;;;84.8 ms;;
22N;7;15;b-;;;19.5 ms;;
23N;7;16;b-;;;14.1 ms;;
